nombre,categoria,costo_mxn,tiempo_estimado,unidad_tiempo,descripcion,condiciones,notas_adicionales,proveedor_responsable,disponibilidad,costo_variable
Desarrollo Web Full Stack,Tecnología,25000,2,semanas,"Desarrollo de aplicación web completa con frontend y backend","50% anticipo, 50% contra entrega","Incluye hasta 3 revisiones. Hosting no incluido.","Desarrollador Senior","Bajo demanda",Si
Landing Page Profesional,Tecnología,8500,5,días,"Página de aterrizaje optimizada para conversión","100% anticipo","Incluye diseño responsive y formulario de contacto","Diseñador UX/UI","Inmediata",No
App Móvil iOS/Android,Tecnología,45000,6,semanas,"Aplicación móvil nativa o híbrida","30% anticipo, 40% desarrollo, 30% entrega","Publicación en stores incluida. Mantenimiento primer mes gratis.","Desarrollador Mobile","Bajo demanda",Si
Consultoría IT,Consultoría,2000,1,hora,"Asesoría técnica especializada en infraestructura","Pago por adelantado","Mínimo 2 horas. Reporte escrito incluido.","Consultor IT","Inmediata",No
Auditoría de Seguridad,Consultoría,15000,1,semana,"Revisión completa de vulnerabilidades","50% anticipo","Incluye reporte ejecutivo y plan de remediación","Especialista Seguridad","Bajo demanda",No
Branding Corporativo,Diseño,18000,10,días,"Creación de identidad visual completa","40% anticipo, 60% entrega","Incluye logo, paleta de colores, tipografía y manual básico","Diseñador Gráfico","Bajo demanda",No
Diseño UX/UI App,Diseño,22000,2,semanas,"Diseño de interfaz y experiencia de usuario","50% anticipo, 50% entrega","Incluye prototipo interactivo y entrega en Figma","Diseñador UX/UI","Bajo demanda",Si
Redes Sociales - Gestión Mensual,Marketing,12000,1,mes,"Administración de 3 redes sociales","Pago mensual por adelantado","Incluye 12 posts, reporte mensual y respuesta a comentarios","Community Manager","Inmediata",No
SEO Técnico On-Page,Marketing,8000,1,semana,"Optimización técnica para motores de búsqueda","100% anticipo","Incluye análisis de keywords y optimización de 10 páginas","Especialista SEO","Inmediata",No
Video Corporativo 2min,Multimedia,16000,5,días,"Video institucional con edición profesional","50% anticipo, 50% entrega","Incluye locución, música de stock y 2 revisiones","Productor de Video","Bajo demanda",Si
Fotografía de Producto,Multimedia,5000,1,día,"Sesión fotográfica profesional de productos","100% anticipo","Incluye 20 fotos retocadas. Estudio incluido.","Fotógrafo","Inmediata",No
Soporte Técnico Remoto,Soporte,800,1,hora,"Resolución de incidencias técnicas remotas","Pago por uso","Mínimo 1 hora. No incluye hardware.","Técnico de Soporte","Inmediata",No
